LinkRef,LinkDescription,Date,TimePeriod,AverageJT,AverageSpeed,DataQuality,LinkLength,Flow
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,0,303.15,90.96,1,7.659999847,15.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,1,285.99,96.42,1,7.659999847,15
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,2,312.45,88.26,1,7.659999847,13
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,3,347.72,79.31,1,7.659999847,10.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,4,347.72,79.31,2,7.659999847,10
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,5,318.69,86.53,1,7.659999847,10
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,6,330.41,83.46,1,7.659999847,10
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,7,318.69,86.53,1,7.659999847,10.75
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,8,319.52,86.3,1,7.659999847,11
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,9,260.7,105.78,1,7.659999847,11.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,10,273.6,100.79,1,7.659999847,9
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,11,289.06,95.4,1,7.659999847,10
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,12,285.36,96.64,1,7.659999847,10.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,13,312.41,88.27,2,7.659999847,12
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,14,339.47,81.23,1,7.659999847,16
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,15,270.91,101.79,1,7.659999847,17
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,16,271.57,101.54,1,7.659999847,18.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,17,281.72,97.88,1,7.659999847,24.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,18,261.69,105.38,1,7.659999847,25.25
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,19,289.6,95.22,1,7.659999847,32.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,20,258.27,106.77,1,7.659999847,39.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,21,250.4,110.13,1,7.659999847,53
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,22,249.95,110.33,1,7.659999847,62.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,23,263.04,104.84,1,7.659999847,82.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,24,257.1,107.26,1,7.659999847,95.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,25,257.52,107.08,1,7.659999847,117.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,26,276.39,99.77,1,7.659999847,147
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,27,259.68,106.19,1,7.659999847,179.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,28,263.38,104.7,1,7.659999847,188.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,29,267.21,103.2,1,7.659999847,215
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,30,272.56,101.17,1,7.659999847,237.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,31,272.65,101.14,1,7.659999847,258.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,32,274.17,100.58,1,7.659999847,243.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,33,273.69,100.76,1,7.659999847,252.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,34,277.52,99.37,1,7.659999847,242
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,35,282.03,97.78,1,7.659999847,238.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,36,276.17,99.85,1,7.659999847,203.75
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,37,276.32,99.8,1,7.659999847,188
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,38,280.74,98.23,1,7.659999847,195
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,39,272.67,101.13,1,7.659999847,181.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,40,297.86,92.58,1,7.659999847,184.25
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,41,277.95,99.21,1,7.659999847,179.25
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,42,295.17,93.42,1,7.659999847,177.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,43,280.26,98.39,1,7.659999847,183.75
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,44,281.36,98.01,1,7.659999847,182
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,45,278.4,99.05,1,7.659999847,181.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,46,279.1,98.8,1,7.659999847,180.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,47,299.51,92.07,1,7.659999847,175.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,48,282.22,97.71,1,7.659999847,188.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,49,280.76,98.22,1,7.659999847,186.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,50,275.95,99.93,1,7.659999847,174.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,51,291.85,94.49,1,7.659999847,188.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,52,297.1,92.82,1,7.659999847,178.75
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,53,315.62,87.37,1,7.659999847,183
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,54,291.37,94.64,1,7.659999847,197
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,55,298.87,92.27,1,7.659999847,196
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,56,312.05,88.37,1,7.659999847,204.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,57,285.04,96.74,1,7.659999847,206
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,58,299.44,92.09,1,7.659999847,198.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,59,295.86,93.21,1,7.659999847,204
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,60,381.6,72.26,1,7.659999847,210
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,61,414.71,66.49,1,7.659999847,218.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,62,442.18,62.36,1,7.659999847,211.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,63,442.57,62.31,1,7.659999847,212
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,64,562.6,49.02,1,7.659999847,222.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,65,600.83,45.9,1,7.659999847,220.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,66,674.93,40.86,1,7.659999847,212.75
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,67,722.6,38.16,1,7.659999847,225
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,68,792.44,34.8,1,7.659999847,212
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,69,805.06,34.25,1,7.659999847,210
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,70,841.11,32.79,1,7.659999847,190.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,71,711.21,38.77,1,7.659999847,184
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,72,437.46,63.04,1,7.659999847,188
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,73,283.66,97.21,1,7.659999847,154.25
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,74,269.66,102.26,1,7.659999847,144.25
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,75,281.39,98,1,7.659999847,138.25
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,76,278.39,99.06,1,7.659999847,117
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,77,282.42,97.64,1,7.659999847,114.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,78,284.62,96.89,1,7.659999847,100
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,79,287.01,96.08,1,7.659999847,84
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,80,258.9,106.51,1,7.659999847,83
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,81,250.6,110.04,1,7.659999847,78
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,82,262.06,105.23,1,7.659999847,66
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,83,264.8,104.14,1,7.659999847,61.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,84,240.63,114.6,1,7.659999847,59
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,85,288.33,95.64,1,7.659999847,53
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,86,325.05,84.84,1,7.659999847,48.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,87,297.53,92.68,1,7.659999847,42
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,88,311.19,88.61,1,7.659999847,38.25
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,89,326.1,84.56,1,7.659999847,35
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,90,315.3,87.46,1,7.659999847,38
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,91,298.05,92.52,1,7.659999847,27.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,92,312.07,88.36,1,7.659999847,25.5
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,93,299.61,92.04,1,7.659999847,22
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,94,306.46,89.98,2,7.659999847,18
AL2471,A40 between A4137 and A49 (AL2471),7/1/2014 0:00,95,317.49,86.86,1,7.659999847,20.25
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,0,280.95,98.15,1,7.659999847,17.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,1,280.95,98.15,2,7.659999847,18
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,2,289.77,95.17,2,7.659999847,10.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,3,289.77,95.17,1,7.659999847,9.75
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,4,309.3,89.16,1,7.659999847,14
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,5,340.37,81.02,2,7.659999847,9.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,6,350.72,78.63,1,7.659999847,10
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,7,343.01,80.39,2,7.659999847,11.75
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,8,331.44,83.2,1,7.659999847,10.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,9,308.67,89.34,1,7.659999847,11.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,10,349.45,78.91,1,7.659999847,9.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,11,347.33,79.39,2,7.659999847,10.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,12,345.2,79.88,1,7.659999847,11.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,13,332.15,83.02,1,7.659999847,12.25
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,14,307.41,89.7,1,7.659999847,15.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,15,360.95,76.4,1,7.659999847,17.25
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,16,258.9,106.51,1,7.659999847,16
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,17,258.27,106.77,2,7.659999847,21.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,18,257.64,107.03,1,7.659999847,25
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,19,265.21,103.98,1,7.659999847,28.75
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,20,282.49,97.62,1,7.659999847,42.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,21,265.43,103.89,1,7.659999847,42
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,22,276.13,99.87,1,7.659999847,60
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,23,274.54,100.44,1,7.659999847,68.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,24,250.77,109.97,1,7.659999847,89.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,25,256.26,107.61,1,7.659999847,110
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,26,271.74,101.48,1,7.659999847,141
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,27,261.71,105.37,1,7.659999847,165
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,28,279.1,98.8,1,7.659999847,176.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,29,262.13,105.2,1,7.659999847,219.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,30,273.61,100.79,1,7.659999847,246.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,31,278.04,99.18,1,7.659999847,271.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,32,279.79,98.56,1,7.659999847,240.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,33,270.11,102.09,1,7.659999847,256
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,34,273.14,100.96,1,7.659999847,231
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,35,283.77,97.18,1,7.659999847,236.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,36,277.57,99.35,1,7.659999847,199.75
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,37,289.41,95.28,1,7.659999847,196
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,38,274.79,100.35,1,7.659999847,197
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,39,289.76,95.17,1,7.659999847,182.25
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,40,291.93,94.46,1,7.659999847,198.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,41,283.93,97.12,1,7.659999847,189
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,42,288.27,95.66,1,7.659999847,186.5
AL2471,A40 between A4137 and A49 (AL2471),7/2/2014 0:00,43,294.38,93.67,1,7.659999847,194.5
